id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
0,24782,36,2,9,2807,gelu_new,0.4653062666953891,0.3231720582829572,512,1,0.02,1e-12,False,relative_key_query,True,0.69804,1959.4910984626106,1367.8031663708405,7.580440074869791,2021-04-03 16:26:48.893397
1,29917,43,7,18,301,gelu,0.3043251190749917,0.9968375270795262,512,1,0.02,1e-12,False,relative_key_query,True,1.8681759999999998,2285.670447700295,4270.034674302947,7.734414672851562,2021-04-04 23:52:36.669200
2,28349,27,1,14,108,gelu,0.2493643840735254,0.2200664406623277,512,1,0.02,1e-12,False,relative_key_query,True,0.408711,375.5338083125736,153.48479832924025,5.928348502604168,2021-04-03 15:21:41.870826
3,9619,5,8,3,422,gelu,0.1844724725330854,0.7191482345157671,512,1,0.02,1e-12,False,absolute,True,0.568547,1780.1857321921107,1012.1192574806281,7.484472981770834,2021-04-02 21:13:29.428952
4,28248,25,1,16,1903,silu,0.2346635921612239,0.2605246175287661,512,1,0.02,1e-12,False,relative_key_query,True,0.60415,599.2478281475202,362.0355753753242,6.395675249023437,2021-04-02 15:49:53.131761
5,13036,83,10,18,24,gelu,0.4937310653050223,0.15884999819941786,512,1,0.02,1e-12,False,relative_key,True,4.340631,2295.4302689299384,9963.615783655627,7.7386755859375,2021-04-03 16:32:00.171881
6,17774,56,4,11,1575,relu,0.7404154143887045,0.6080321129022532,512,1,0.02,1e-12,False,absolute,True,1.2641959999999999,2294.4222270739897,2900.59940177803,7.738236337890625,2021-04-02 09:59:33.384078
7,5393,15,4,14,755,gelu_new,0.30460659460919426,0.853279468712852,512,1,0.02,1e-12,False,relative_key_query,True,0.8952120000000001,353.8527694893989,316.7732454801437,5.868880921223957,2021-04-04 01:28:04.775881
8,30072,17,6,11,237,silu,0.4582226064808502,0.4570011720943503,512,1,0.02,1e-12,False,relative_key_query,True,1.253219,456.9124499205269,572.6113635769527,6.124491796875,2021-04-02 18:59:10.776414
9,3657,11,2,10,1240,relu,0.5316173513008455,0.6045816385773602,512,1,0.02,1e-12,False,relative_key_query,True,0.41385200000000005,679.0678616474004,281.0335926785,6.520721066080728,2021-04-02 04:44:26.932733
10,18785,20,3,7,198,gelu_new,0.12881860684002436,0.10119798289094524,512,1,0.02,1e-12,False,relative_key_query,True,0.624246,297.33671672935833,185.61125607143498,5.694865222981771,2021-04-05 12:03:12.743427
11,29209,51,2,3,979,gelu,0.4039915205672141,0.7931156149801849,512,1,0.02,1e-12,False,relative_key_query,True,0.442338,555.2318800872574,245.60015937403728,6.319385828450521,2021-04-03 05:06:31.013401
12,26536,18,1,11,624,relu,0.3717380993638059,0.2410685706183021,512,1,0.02,1e-12,False,relative_key_query,True,0.374918,486.2265225058096,182.2950753648331,6.186674611002604,2021-04-04 09:31:45.139134
13,29103,23,4,9,1403,gelu,0.8205011963039504,0.23117717287393985,512,1,0.02,1e-12,False,relative_key_query,True,1.022381,2363.602733763109,2416.502526547461,7.767942316080728,2021-04-05 02:11:24.423323
14,14808,78,8,3,637,relu,0.1172089295935044,0.4116813290425804,512,1,0.02,1e-12,False,absolute,True,0.731563,2226.128737245386,1628.5534174054465,7.7080193636067715,2021-04-01 23:47:34.879272
15,2768,93,4,4,1687,gelu_new,0.8808744124235504,0.5613975228227984,512,1,0.02,1e-12,False,absolute,True,0.760308,2361.689609586477,1795.6115036854749,7.767132578125,2021-04-02 06:41:07.478879
16,25085,34,11,2,2286,silu,0.3998254616651229,0.27027797486453786,512,1,0.02,1e-12,False,relative_key_query,True,1.397956,2404.231997778729,3361.010546686761,7.784985795898438,2021-04-03 00:15:16.911079
17,25779,12,1,16,399,relu,0.5643968107711796,0.16542422594272266,512,1,0.02,1e-12,False,relative_key,True,0.340961,645.3274419615292,220.031489938645,6.469757849934896,2021-04-04 07:45:50.411253
18,24452,40,1,11,693,silu,0.21042168668369732,0.17800851117895425,512,1,0.02,1e-12,False,relative_key_query,True,0.611718,993.3491855873224,607.6495771091056,6.901082249348957,2021-04-03 13:25:28.722467
19,19408,10,5,5,713,gelu_new,0.4170281644527881,0.6492515074819419,512,1,0.02,1e-12,False,relative_key_query,True,0.676311,853.7076197461517,577.3718540181396,6.74958876953125,2021-04-02 08:22:15.406534
20,30417,28,2,18,60,relu,0.5496442012986347,0.4046760626055012,512,1,0.02,1e-12,False,relative_key_query,True,0.977174,800.1227353525912,781.8591337954331,6.684765135091146,2021-04-04 23:47:49.742456
21,24183,5,12,6,720,silu,0.29876609235630075,0.9063589593953288,512,1,0.02,1e-12,False,relative_key_query,True,1.371034,1044.3113930394666,1431.786426444472,6.951112993164062,2021-04-02 23:43:08.647390
22,28122,65,2,3,288,gelu,0.9433837037592612,0.20550199377245246,512,1,0.02,1e-12,False,relative_key,True,0.475542,2362.5790892580635,1123.505585263958,7.767509135742188,2021-04-05 11:07:00.695381
23,17556,32,3,13,521,gelu_new,0.24299270714826285,0.7242458032689969,512,1,0.02,1e-12,False,relative_key_query,True,0.9821040000000001,2201.529264090803,2162.1306963806337,7.696907517903647,2021-04-04 19:01:56.645158
