id,1,2,3,4,5,6,7,8,9,10
0,0.225957,0.449378,0.676914,0.902535,1.125464,1.351142,1.589218,1.838396,2.086431,2.334242
1,0.794191,1.603198,2.433249,3.25544,4.05747,4.893347,5.732181,6.549638,7.3742,8.14949
2,0.174433,0.353523,0.525604,0.702616,0.879869,1.058001,1.236892,1.41159,1.587288,1.758225
3,0.185982,0.371669,0.559104,0.738055,0.928054,1.109275,1.293846,1.479687,1.668944,1.856231
4,0.196938,0.394684,0.592138,0.78885,0.98461,1.178866,1.378008,1.573942,1.773894,1.972906
5,1.41501,2.815474,4.293888,5.764296,7.235889,8.703674,10.104318,11.559278,12.986432,14.441776
6,0.453692,0.901518,1.312635,1.741579,2.198401,2.628451,3.061879,3.473408,3.921842,4.325102
7,0.36974,0.732215,1.10521,1.473349,1.812559,2.169912,2.542625,2.902079,3.259773,3.627882
8,0.437853,0.889965,1.304073,1.750764,2.189587,2.642597,3.096693,3.52237,3.944857,4.400164
9,0.143861,0.291106,0.433235,0.575498,0.716556,0.859705,0.996696,1.135171,1.272431,1.411503
10,0.177831,0.351912,0.528401,0.70119,0.874521,1.045462,1.218645,1.390648,1.56535,1.737614
11,0.142921,0.295134,0.442998,0.591388,0.740153,0.890614,1.037093,1.186565,1.334206,1.48162
12,0.124585,0.247762,0.371973,0.498669,0.622131,0.749246,0.874922,0.998689,1.125123,1.250592
13,0.255966,0.558619,0.83801,1.109543,1.384623,1.662397,1.938992,2.215734,2.493986,2.785947
14,0.272419,0.538364,0.778097,1.021746,1.265486,1.506949,1.751179,1.995471,2.238126,2.477637
15,0.225801,0.455121,0.683616,0.914068,1.140276,1.365539,1.593987,1.824645,2.057162,2.293917
16,0.474673,0.900875,1.299947,1.726592,2.212694,2.703562,3.216432,3.74323,4.265532,4.8142
17,0.113892,0.230417,0.342923,0.458924,0.575179,0.687635,0.799977,0.914473,1.030104,1.143362
18,0.201559,0.409026,0.608047,0.810134,1.012139,1.213358,1.412882,1.623869,1.833546,2.043399
19,0.240445,0.506448,0.759281,1.023595,1.282602,1.519758,1.764031,2.00872,2.271724,2.533142
20,0.323734,0.630454,0.938192,1.253537,1.576471,1.90031,2.211637,2.533006,2.849006,3.167997
21,0.516989,1.087743,1.655106,2.177638,2.717869,3.298105,3.856122,4.407721,4.965822,5.548957
22,0.148097,0.29739,0.447334,0.595875,0.744269,0.898077,1.049809,1.204029,1.35367,1.506318
23,0.369746,0.731188,1.082365,1.430246,1.809738,2.181647,2.559947,2.924153,3.296805,3.657099
24,0.179717,0.359482,0.536948,0.716312,0.897616,1.077961,1.260624,1.439663,1.621208,1.802911
25,0.363339,0.726265,1.090009,1.464683,1.83288,2.199524,2.540511,2.907565,3.264963,3.636627
26,0.140797,0.282239,0.423843,0.56844,0.710409,0.85155,0.994608,1.135871,1.276422,1.415798
27,0.241039,0.487562,0.733467,0.973618,1.218146,1.461298,1.703747,1.958793,2.2023,2.423842
28,0.913133,1.735394,2.585365,3.419431,4.262018,5.04903,5.850501,6.623828,7.411923,8.224758
29,0.186869,0.372896,0.557541,0.744416,0.932001,1.117019,1.305135,1.48985,1.677572,1.862567
30,0.478417,0.960736,1.447738,1.926787,2.410123,2.908048,3.377724,3.86509,4.351183,4.843386
31,0.210527,0.423101,0.638967,0.856937,1.070522,1.288106,1.506881,1.725195,1.942516,2.154704
32,0.262467,0.527475,0.786782,1.054397,1.313233,1.573286,1.837476,2.099478,2.362266,2.613271
33,0.366667,0.709031,1.074916,1.450077,1.734381,2.099864,2.412361,2.778661,3.152749,3.507065
34,0.741112,1.498143,2.249369,2.998931,3.74694,4.504658,5.27285,6.029962,6.778091,7.52519
35,0.393461,0.783568,1.196995,1.593389,1.987787,2.389502,2.811427,3.219779,3.619415,4.02638
36,0.182319,0.361743,0.544662,0.723539,0.904422,1.084809,1.267623,1.451082,1.634353,1.815689
37,0.135319,0.271039,0.410635,0.549022,0.683796,0.824782,0.966403,1.106365,1.246338,1.387364
38,0.141091,0.282493,0.423872,0.561241,0.700725,0.84164,0.979179,1.119338,1.254722,1.39385
39,0.100385,0.199394,0.300625,0.400154,0.500606,0.600263,0.701519,0.802113,0.905379,1.007153
40,0.169401,0.338782,0.50854,0.679963,0.852572,1.024297,1.196179,1.369028,1.541193,1.712634
41,0.175908,0.354822,0.531119,0.711645,0.89144,1.06966,1.248383,1.42703,1.606917,1.785595
42,0.164525,0.327637,0.498637,0.668735,0.83919,1.00339,1.171766,1.339183,1.505368,1.669636
43,0.320789,0.659497,1.014941,1.387756,1.723455,2.093898,2.436375,2.743111,3.105586,3.477419
44,0.166336,0.329283,0.491479,0.640122,0.791436,0.955967,1.109915,1.268026,1.42145,1.570517
45,0.176375,0.356972,0.535911,0.712279,0.888105,1.067525,1.252935,1.429041,1.613126,1.796357
46,0.235153,0.494112,0.781875,1.039498,1.294436,1.576255,1.864374,2.15041,2.440957,2.717595
47,0.984497,1.956913,2.931138,3.913719,4.901658,5.849318,6.83351,7.823411,8.816935,9.807575
48,0.090204,0.181488,0.2724,0.363703,0.453697,0.544268,0.635947,0.727815,0.818342,0.909798
49,0.399353,0.789185,1.184949,1.571818,1.959984,2.350196,2.731336,3.103146,3.459632,3.845954
50,0.127449,0.250482,0.377474,0.504169,0.62998,0.754824,0.878872,1.00609,1.132764,1.25949
51,0.707962,1.422564,2.122572,2.824329,3.516083,4.220814,4.932854,5.638696,6.331059,7.058813
52,0.107712,0.214551,0.321951,0.429724,0.537364,0.643583,0.746607,0.852709,0.956103,1.061999
53,0.139758,0.277755,0.417073,0.556461,0.697543,0.839739,0.977561,1.115313,1.252778,1.390202
54,0.618162,1.237849,1.892898,2.502695,3.151011,3.782702,4.426639,5.072309,5.729054,6.370276
55,0.138833,0.279435,0.421635,0.564089,0.704525,0.845552,0.99077,1.134112,1.277464,1.416448
56,0.635271,1.276297,1.912273,2.560138,3.171616,3.811339,4.404541,5.052664,5.68988,6.331349
57,0.411289,0.821916,1.244016,1.678269,2.09881,2.542275,2.951977,3.348233,3.753164,4.161742
58,0.158619,0.319014,0.481046,0.639674,0.80258,0.967767,1.135108,1.299114,1.463696,1.630936
59,0.131184,0.262695,0.394952,0.523465,0.655708,0.788583,0.920266,1.051458,1.176564,1.302611
60,0.340375,0.700634,1.093226,1.483552,1.856552,2.238155,2.624596,3.033481,3.403661,3.829025
61,0.464459,0.926004,1.382133,1.822275,2.261643,2.688887,3.126426,3.544671,3.978689,4.405122
