id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
56,1464,59,9,10,1632,relu,0.640613016,0.830735647,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,2.277916,2295.815324,5229.674459,7.73884332,35:56.4
57,23458,7,9,10,378,silu,0.284479326,0.246025116,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.078415,585.3994951,631.3035965,6.372294512,40:23.4
58,11271,59,2,5,700,gelu,0.334579449,0.289552014,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.592242,473.0064086,280.1342614,6.159108937,54:39.2
59,13130,76,1,4,7,relu,0.226234375,0.321454899,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.51598,764.8965461,394.6713199,6.639740591,15:40.9
60,11528,4,11,8,521,relu,0.407491109,0.820559202,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.408411,1433.999892,2019.661222,7.268222946,22:03.8
61,30159,19,12,1,418,silu,0.363763447,0.209431989,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.507942,1559.407797,2351.496513,7.352061411,14:57.0
62,19936,44,4,4,1152,gelu,0.100539059,0.294839074,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.703669,306.2070834,215.4684322,5.724261616,30:48.9
63,17829,46,3,8,916,silu,0.312753848,0.378138071,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.78541,2197.501102,1725.939341,7.695076131,28:26.8
64,6215,92,7,9,1571,gelu_new,0.787960424,0.455656686,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.600508,2294.365749,3672.150735,7.738211722,18:41.9
65,18938,20,5,1,932,gelu,0.699693672,0.734976811,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.538261,2480.406623,1335.106149,7.816177786,31:19.5
66,20336,39,1,8,2488,silu,0.283583289,0.56726554,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.378863,948.6445301,359.4063126,6.855034155,37:38.8
67,15637,18,4,6,1564,relu,0.143968671,0.224911331,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.618699,370.4218412,229.1796227,5.914642467,08:37.5
68,22968,2,2,9,1240,gelu_new,0.991994212,0.310650359,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.244784,2475.550287,605.9751013,7.814217988,24:25.4
69,15862,13,3,12,2979,silu,0.474502492,0.544491666,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.617502,1040.464172,642.4887072,6.947422212,54:00.1
