id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
42,8346,64,3,4,1033,gelu,0.518839512,0.638147722,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.551228,2242.007389,1235.857249,7.715126899,40:35.1
43,26964,80,6,2,795,silu,0.680243597,0.502786169,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.210186,2356.787633,2852.151398,7.765054798,54:32.6
44,21251,7,8,3,441,gelu,0.200352273,0.698441722,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.624837,1612.623133,1007.6266,7.385617407,38:44.6
45,6983,37,5,8,211,gelu_new,0.910528883,0.401907367,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.525358,2366.97533,1243.509425,7.769368187,34:33.2
46,19866,58,4,4,571,gelu,0.197999319,0.296226982,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.968114,381.8373042,369.6620399,5.944994613,47:30.9
47,25358,99,4,17,1622,relu,0.387598636,0.187241524,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.609776,2303.098439,8313.669472,7.742010643,22:32.5
48,21968,13,1,14,240,silu,0.112817534,0.130325327,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.326627,858.0752323,280.2705389,6.754691779,03:15.8
49,28071,23,4,17,2380,relu,0.397096923,0.278319612,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.296694,2247.282383,2914.037582,7.717476935,41:02.2
50,12168,67,2,2,576,gelu,0.213442576,0.322383982,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.451127,413.4214345,186.5055715,6.024467495,31:41.8
51,14966,73,7,12,1765,gelu_new,0.339727929,0.400187339,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,2.487924,2283.426426,5680.991407,7.733432412,46:51.2
52,21738,17,1,14,1860,silu,0.265633655,0.426066094,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.372331,1131.053119,421.126139,7.030904442,33:39.5
53,26671,32,1,11,404,gelu,0.359286268,0.142409052,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.534718,437.8398381,234.1208426,6.081853177,42:51.7
54,29462,67,11,11,355,silu,0.429357497,0.272100071,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.75712,2291.797363,4026.962983,7.737091663,37:50.4
55,29437,9,2,18,1,relu,0.53469309,0.202741063,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.498703,548.473117,273.5251889,6.307138267,12:10.1
