id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
126,25792,53,3,17,173,gelu,0.487574921,0.436302864,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.212466,2263.094522,2743.925162,7.724488413,36:19.9
127,18021,87,1,6,1124,gelu,0.152024438,0.359252876,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.824521,895.912003,738.6982607,6.797842197,27:24.4
128,9813,63,6,6,14,silu,0.603121031,0.367289029,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.144595,2237.876316,2561.462042,7.713282622,47:01.7
129,22760,48,3,1,800,gelu_new,0.129409427,0.527121045,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.344387,565.1214833,194.6204923,6.337040723,28:23.1
130,25127,28,2,17,2061,relu,0.560587365,0.312820999,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.976627,1821.538293,1778.963478,7.507436639,46:37.5
131,18441,52,2,3,922,gelu,0.406975527,0.364800977,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.458829,516.1207948,236.8111882,6.246340837,16:18.3
132,19917,36,1,16,609,gelu,0.458276212,0.24104412,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.851601,1358.804268,1157.159074,7.214360378,55:37.0
133,6848,37,4,12,3038,gelu_new,0.162386735,0.227951564,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.032347,2244.380856,2316.979843,7.716184974,58:01.8
134,22593,30,2,9,1278,relu,0.97516875,0.125614381,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.531385,2397.113114,1273.789952,7.782020423,12:24.9
135,3662,23,1,14,862,gelu,0.506817603,0.351162064,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.459104,861.746562,395.6312936,6.758961216,04:29.6
136,23510,27,2,9,1179,gelu,0.175542388,0.130649128,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.528451,415.1982005,219.4119042,6.028755998,43:54.8
137,26207,12,8,15,502,gelu,0.389978535,0.35279731,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.457844,621.8466874,906.5554622,6.432693579,38:03.7
138,30499,25,3,6,623,gelu,0.438127125,0.778863109,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.398092,1225.6621,487.9262766,7.111236466,03:02.1
139,13561,24,1,1,342,silu,0.297983695,0.38783038,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.230336,1288.48312,296.7840479,7.161220929,48:37.4
