id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
28,30475,30,12,15,1503,silu,0.648777532,0.532251976,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.771715,2321.924679,6435.713461,7.750151724,17:25.4
29,17091,58,2,5,730,gelu,0.140380156,0.288205092,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.614488,457.5343607,281.1493743,6.125851987,52:34.5
30,4528,81,1,16,366,gelu,0.505744333,0.271916557,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.513294,1796.44485,2718.549212,7.493564907,11:29.2
31,5198,60,2,6,318,gelu,0.151181192,0.341737568,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.65976,410.534093,270.8539732,6.017458978,48:26.9
32,9374,37,5,8,1780,gelu_new,0.196238636,0.148403028,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.79954,2280.544246,1823.386346,7.732169398,54:01.5
33,16891,37,5,6,287,silu,0.772798058,0.517508406,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.030996,2340.683478,2413.235303,7.75819825,30:17.9
34,29914,60,5,17,260,gelu,0.582616818,0.416815448,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.217803,2291.081169,5081.16669,7.736779111,41:21.8
35,27939,24,4,14,2892,relu,0.41277008,0.184726572,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.240951,2258.722653,2802.964135,7.722554735,43:43.5
36,19453,21,4,5,1104,silu,0.259744572,0.673093674,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.460996,508.1810574,234.2694347,6.230837796,43:36.8
37,16697,32,5,1,170,relu,0.236675698,0.583703565,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.388278,1422.09948,552.1699417,7.259889565,51:59.0
38,27547,22,1,12,576,gelu,0.660818606,0.145884037,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.39201,1419.382706,556.4122146,7.257977342,26:49.0
39,30505,17,1,7,373,silu,0.378787593,0.216034672,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.228047,535.0711123,122.0213619,6.282399658,59:51.1
40,29363,9,2,18,92,relu,0.535446032,0.954221269,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.406397,521.1051844,211.7755836,6.255951911,01:05.7
41,25696,85,1,4,468,silu,0.180710028,0.191894896,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.526631,750.0413755,394.9950396,6.620128372,00:22.4
